ROM CODE,CSD-00009330,1,PRIMO#U-C9,ROM Image Release(PRO#U_HTC_NOR),99HRS014-00,99HRS014-01 and 99HRS014-02,,,English,,,2012/03/07 18:23:37,,58856+58857+
ROM CODE,CSD-00009331,1,PRIMO#U-C9,ROM Image Release(PRO#U_HTC_ITA),99HRS013-00,99HRS013-01,99HRS013-02,99HRS074-00,99HRS074-01 and 99HRS074-02,,,English,,,2012/03/07 18:27:12,,58858+58859+
ROM CODE,CSD-00009332,1,PRIMO#U-C9,ROM Image Release(PRO#U_HTC_NLD),99HRS010-00,99HRS010-01,99HRS010-02,99HRS070-00,99HRS070-01 and 99HRS070-02,,,English,,,2012/03/07 18:37:09,,58860+58861+
ASP certification report,CSD-00009335,1,BLISS-T8,SD Card content for 54H20309-21M (XA),54H20309-21M;54H20309-38M;,2012/03/08,,English,,,2012/03/08 10:51:23,,58869+
ROM CODE,CSD-00009336,1,VILLE#U-C9,Demo unit rom code and content for rework purpose,Update content on 3/22,2012/03/09,,English,,,2012/03/08 13:34:36,,58882+59957+
ROM CODE,CSD-00009339,1,PRIMO#U-C9,ROM Image Release(PRO#U_HTC_RUS UKR),99HRS009-00,99HRS009-01 and 99HRS009-02,,,English,,,2012/03/08 18:38:02,,58894+58893+
